geneset_name	geneset_genes	geneset_size
GO_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	ACTR2,ACTR3,ACTR3B,ACTR3C,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,IQGAP2,JMY,MAGEL2,TRIM27,WASH1,WASH3P,WASH6P	18
GO_ARTERY_DEVELOPMENT	ACVR2B,ACVRL1,ADAMTS6,ANGPTL3,AP2B1,APOB,APOE,BMP4,BMPR2,CHD7,COL3A1,DCTN5,DLL4,DNM2,ENG,EYA1,FGF8,FOLR1,FOXC1,FOXC2,FOXF1,FOXH1,GJA5,GLI3,HAND2,HES1,HEY1,HEY2,HOXA1,HPGD,JAG1,LOX,LOXL1,LRP1,LRP2,LTBP1,LUZP1,MYH10,MYLK,MYOCD,NDST1,NF1,NKX3-1,NOTCH1,NOTCH3,NPRL3,NRP1,PDGFRB,PKD2,PLXND1,PRDM1,PRICKLE1,PROX1,PRRX1,PTGER4,RAPGEF3,RBPJ,SEC24B,SHH,SIX1,SMAD6,SMAD7,SNX17,SOX4,SRF,STRA6,SUFU,TAB1,TBX1,TBX2,TFAP2B,TGFBR1,VEGFA,WNT11,ZMIZ1	75
GO_ARTERY_MORPHOGENESIS	ANGPTL3,APOB,APOE,BMP4,CHD7,COL3A1,DLL4,ENG,EYA1,FGF8,FOLR1,FOXC1,FOXC2,FOXF1,FOXH1,GJA5,HAND2,HES1,HEY1,HEY2,HOXA1,HPGD,JAG1,LRP1,MYLK,MYOCD,NF1,NOTCH1,NOTCH3,NPRL3,NRP1,PDGFRB,PKD2,PRDM1,PROX1,PRRX1,PTGER4,RBPJ,SEC24B,SIX1,SMAD7,SOX4,SRF,STRA6,TBX1,TBX2,TFAP2B,TGFBR1,VEGFA,WNT11,ZMIZ1	51
GO_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	AASDHPPT,ADI1,APIP,ASNS,ASNSD1,BHMT,BHMT2,EIF2B1,EIF2B2,EIF2B4,ENOPH1,GOT1,GOT1L1,GOT2,MRI1,MTAP,MTHFD1,MTHFD2L,MTR,MTRR,PLOD1,THNSL1,THNSL2	23
GO_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	AADAT,AASS,AGPHD1,AGXT2L2,ALDH7A1,ASPA,ASRGL1,CRYM,DDO,DLD,DLST,GCAT,GCDH,GOT1,GOT2,OGDH,PIPOX,SLC25A21,TDH	19
GO_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	AADAT,AASDHPPT,AASS,ADI1,ADSS,ADSSL1,AGPHD1,AGXT2L2,AHCY,AHCYL1,AHCYL2,ALDH7A1,APIP,ASNS,ASNSD1,ASPA,ASRGL1,ASS1,BHMT,BHMT2,CRYM,DDO,DLD,DLST,EIF2B1,EIF2B2,EIF2B4,ENOPH1,GCAT,GCDH,GNMT,GOT1,GOT1L1,GOT2,MRI1,MSRA,MTAP,MTHFD1,MTHFD2L,MTHFR,MTR,MTRR,NIT2,NMNAT1,NMNAT2,NMNAT3,OGDH,PHGDH,PIPOX,PLOD1,SLC25A21,SMS,TDH,THNSL1,THNSL2	55
GO_ASPARTATE_METABOLIC_PROCESS	ADSS,ADSSL1,ASPA,ASS1,DDO,GOT1,GOT1L1,GOT2,NMNAT1,NMNAT2,NMNAT3	11
GO_ASSOCIATIVE_LEARNING	ACCN2,ADAM2,ADCY3,ADRB2,APP,ATP1A2,ATP1A3,BRAF,BTG2,CDK5,CHRNB2,CLN3,CLN8,CREB1,CRH,CTNS,DBH,DEAF1,DRD1,DRD2,DRD3,DRD4,DRD5,EIF4A3,FOS,FOXB1,GABRA5,GRIN1,GRIN2A,GRM7,HIF1A,HMGCR,HRH1,HRH2,IFT20,ITGB1,KIT,KRAS,LRRN4,MECP2,MEIS2,MLL,MTOR,NDRG4,NETO1,NEUROD2,NF1,NLGN3,NPS,NPTN,NPTX2,NRGN,NTS,OPRK1,PDE1B,PPP1R1B,PPT1,PTPRZ1,RELN,RGS14,RIC8A,RIN1,SGK1,SHANK1,SNAP25,SRF,SYNGAP1,TAC1,TACR1,TANC1,TBR1,TNR,UCN	73
GO_ASTROCYTE_DEVELOPMENT	CDK6,CNTF,DLL1,DRD1,EIF2B5,GFAP,KRAS,LAMB2,LAMC3,MT3,NF1,PLP1,POU3F2,S100A8,S100A9,SMO,TLR4,TSPAN2,VIM	19
GO_ASTROCYTE_DIFFERENTIATION	ABL1,CDK6,CNTF,DLL1,DRD1,EIF2B5,GCM1,GFAP,HES5,HMBS,KRAS,LAMB2,LAMC3,LIF,MAP2K1,MAPK1,MAPK3,MT3,NF1,NKX2-2,NOTCH1,PAX6,PLP1,POU3F2,PPAP2B,PTPN11,S100A8,S100A9,S100B,SHH,SMO,SOX6,SOX8,SOX9,STAT3,TAL1,TLR4,TSPAN2,VIM	39
GO_ASYMMETRIC_CELL_DIVISION	ACTR2,ACTR3,DOCK7,ETV5,FGF13,GOLGA2,ING2,PARD3,RAB10,RGS14,SOX5,TEAD3,ZBTB16	13
GO_ASYMMETRIC_PROTEIN_LOCALIZATION	ARF4,CELSR1,COLQ,DLG5,DYNC2H1,ERBB2IP,GOPC,HCN1,MAL,MPP5,NAPA,RAB10,RAB14,RDX,SCRIB,SHROOM2,SHROOM3,VANGL2,WNT7A	19
GO_ATP_BIOSYNTHETIC_PROCESS	AKD1,ALDOA,ATP5A1,ATP5B,ATP5C1,ATP5D,ATP5E,ATP5EP2,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5H,ATP5I,ATP5J,ATP5J2,ATP5L,ATP5L2,ATP5O,ATP5S,ATP6V0A1,ATP6V0A2,ATP6V0A4,C11orf83,C16orf7,CHCHD10,GBAS,LDHC,PKLR,PKM2,PRKAG2,SLC25A13,STOML2,SURF1,TCIRG1,TGFB1	36
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	ACTB,ACTL6A,ANP32E,APITD1,ARID1A,CASC5,CECR2,CENPA,CENPC1,CENPH,CENPI,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPT,CENPU,CENPW,CHD4,CHD5,CHD8,GATAD2B,HDAC1,HDAC2,HIST1H2BA,HIST1H4A,HIST1H4B,HIST1H4C,HIST1H4D,HIST1H4E,HIST1H4F,HIST1H4H,HIST1H4I,HIST1H4J,HIST1H4K,HIST1H4L,HIST2H4A,HIST2H4B,HIST4H4,HJURP,HNRNPC,ITGB3BP,KNL1,MBD2,MBD3,MIS18A,MIS18BP1,MLF1IP,MTA2,NASP,NPM1,OIP5,PSME4,RBBP4,RBBP7,RNF8,RSF1,RUVBL1,SMARCA1,SMARCA4,SMARCA5,SMARCAD1,SMARCB1,SMARCC1,SMARCC2,SMARCD2,SMARCE1,SPTY2D1,STRA13,SYCP3,TNP1,VPS72,ZNHIT1	76
GO_ATP_GENERATION_FROM_ADP	ADPGK,AKD1,ALDOA,ALDOB,ALDOC,BPGM,DHTKD1,ENO1,ENO2,ENO3,ENO4,GALK1,GAPDH,GAPDHS,GCK,GPI,HK1,HK2,HK3,HKDC1,LDHA,OGDH,OGDHL,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGAM4,PGK1,PGK2,PGM1,PKLR,PKM2,TPI1	39
GO_ATP_HYDROLYSIS_COUPLED_TRANSMEMBRANE_TRANSPORT	ATP12A,ATP1A1,ATP1A2,ATP1A3,ATP1A4,ATP1B1,ATP1B2,ATP1B3,ATP4A,ATP5A1,ATP5B,ATP5G1,ATP5G2,ATP5G3,ATP6AP1,ATP6AP1L,ATP6V0A1,ATP6V0A2,ATP6V0A4,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1C1,ATP6V1C2,ATP6V1E1,ATP6V1E2,ATP6V1F,ATP6V1H,FXYD2,TCIRG1	36
GO_ATRIAL_SEPTUM_DEVELOPMENT	ACVR1,ANK2,CYR61,DAND5,GATA4,GJA5,HEY2,ISL1,MDM2,NKX2-5,NOTCH2,NPHP3,SMO,SOX4,TBX20,TBX5,WHSC1,ZFPM1	18
GO_ATRIAL_SEPTUM_MORPHOGENESIS	ACVR1,CYR61,GATA4,GJA5,HEY2,ISL1,NKX2-5,NOTCH2,SMO,SOX4,TBX20,TBX5,WHSC1,ZFPM1	14
GO_ATRIOVENTRICULAR_VALVE_DEVELOPMENT	ACVR1,BMP2,CYR61,DCHS1,EFNA1,GJA5,HEY1,HEY2,HEYL,MDM2,NOTCH1,OLFM1,PITX2,SMAD4,SOX4,TBX20,TBX5,TWIST1,ZFPM1	19
GO_ATRIOVENTRICULAR_VALVE_MORPHOGENESIS	ACVR1,BMP2,CYR61,DCHS1,EFNA1,HEY1,HEY2,HEYL,MDM2,NOTCH1,OLFM1,SMAD4,SOX4,TBX5,TWIST1,ZFPM1	16
GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	AURKB,AURKC,BRCA2,BUB3,CASC5,CENPE,CHAMP1,FAM175B,KNL1,NDC80,RB1,SEH1L,SGO1,SGOL1,TEX14,ZNF207	16
GO_AUDITORY_RECEPTOR_CELL_DEVELOPMENT	ATP2B2,CLIC5,FGFR1,LHFPL5,LRTOMT,MYO7A,PAFAH1B1,PDZD7,RAC1,SCRIB,SEC24B,SLC4A7,SLC9A3R1,SLITRK6,SOD1,STRC,TMC1,WDPCP	18
GO_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION	ATOH1,ATP2B2,CLIC5,FGFR1,HES1,HES5,JAG1,JAG2,LHFPL5,LRTOMT,MCOLN3,MYO7A,NOTCH1,PAFAH1B1,PDZD7,PLS3,POU4F3,RAC1,RBPJ,SCRIB,SEC24B,SLC4A7,SLC9A3R1,SLITRK6,SOD1,STRC,TMC1,WDPCP	28
GO_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	ATP2B2,CLIC5,LHFPL5,MYO7A,PDZD7,RAC1,SCRIB,SEC24B,SLC9A3R1,SLITRK6,SOD1,STRC,WDPCP	13
GO_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	ASCL1,CTNNB1,EDNRA,EDNRB,EGR2,FZD3,GATA3,GBX2,GDNF,GFRA3,HAND2,HES1,HES3,HLX,HOXB1,HOXB2,INSM1,KIF26A,NAV2,NF1,NRP1,NRP2,NTRK1,PHACTR4,PHOX2A,PHOX2B,PLXNA3,PLXNA4,PRLH,RET,SEMA3A,SEMA3F,SIX1,SOX10,SOX11,SOX4,SOX8,TBX1,TFAP2A,TFAP2B,TLX2,TP63	42
GO_AUTOPHAGOSOME_ORGANIZATION	ATG12,ATG13,ATG14,ATG16L1,ATG16L2,ATG2A,ATG2B,ATG3,ATG4A,ATG4B,ATG4C,ATG4D,ATG5,ATG9A,ATG9B,ATP13A2,BECN1,BECN1P1,C12orf44,GABARAPL1,GABARAPL2,GABARAPL3,KIAA1324,MAP1LC3A,MAP1LC3B,MAP1LC3B2,MAP1LC3C,MFN2,PACS2,PIK3C3,PSEN1,RAB1A,RAB23,RB1CC1,STX12,STX17,TMEM93,TP53INP1,TP53INP2,TRAPPC8,WDR45,WDR45L,WIPI1,WIPI2	44
GO_AUTOPHAGY	ABL1,ACBD5,ACIN1,ACTRT1,ADAMTS7,AKR1E2,ALKBH5,ALPK1,AMBRA1,ANXA5,ANXA7,ARSB,ASB2,ATG10,ATG12,ATG13,ATG14,ATG16L1,ATG16L2,ATG2A,ATG2B,ATG3,ATG4A,ATG4B,ATG4C,ATG4D,ATG5,ATG7,ATG9A,ATG9B,ATP13A2,ATP1B1,ATPAF1-AS1,ATPIF1,BECN1,BECN1P1,BLOC1S1,BMP2KL,BNIP1,BNIP3,BOC,C11orf2,C11orf41,C12orf44,C12orf5,C14orf133,C1orf210,C5,C6orf106,C7orf59,C7orf68,C8orf59,C9orf72,CA7,CALCB,CALCOCO2,CAPS,CCDC36,CD163L1,CD93,CDC37,CDKN2A,CHAF1B,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP6,CHST3,CISD2,CLDN7,CLEC16A,CLN3,CLVS1,COX8A,CPA3,CRNKL1,CSPG5,CTSA,CTSB,CTSD,CXCR7,DAP,DKKL1,DNAAF2,DPF3,DRAM1,DRAM2,DYNLL1,DYNLL2,DZANK1,EI24,EIF2S1,EPG5,EPM2A,FABP1,FAM125A,FAM131B,FAM134B,FAM13B,FAM176A,FAM176B,FAM48A,FANCC,FANCF,FANCL,FBXO7,FCGR3B,FGF14,FGF7,FGFBP1,FIS1,FNBP1L,FOXO1,FUNDC1,FUNDC2,FXR2,GABARAP,GABARAPL1,GABARAPL2,GABARAPL3,GABRA5,GDF5,GMIP,HAP1,HAPLN1,HBXIP,HCAR1,HDAC6,HGS,HIST1H3A,HIST1H3B,HIST1H3C,HIST1H3D,HIST1H3E,HIST1H3F,HIST1H3G,HIST1H3H,HIST1H3I,HIST1H3J,HK2,HMGB1,HPR,HSF2BP,HSP90AA1,HSPA8,IFI16,IPPK,IRGM,IST1,ITGB4,ITPKC,KCNK3,KCNQ1,KIAA0226,KIAA1324,KRCC1,KRT15,KRT73,LAMP1,LAMP2,LAMTOR1,LAMTOR2,LAMTOR3,LARP1B,LENG9,LGALS8,LIX1,LIX1L,LMCD1,LRRK2,LRSAM1,LSM4,MAP1A,MAP1LC3A,MAP1LC3B,MAP1LC3B2,MAP1LC3C,MAP1S,MAP2K1,MAP3K12,MARK2,MBD5,MDH1,MEX3C,MFN1,MFN2,MLST8,MRPS10,MRPS2,MSTN,MTERFD1,MTMR14,MTMR3,MTOR,MTSS1,MYH11,MYLK,MYOM1,NBR1,NDUFB9,NEFM,NHLRC1,NME2,NPC1,NR2C2,NRBF2,NTHL1,NUP93,OBSCN,OPTN,P2RX5,PACS2,PARK2,PARK7,PDK1,PDK4,PEX13,PEX3,PFKP,PGK2,PHF23,PHYHIP,PI4K2A,PIK3C3,PIK3CA,PIK3CB,PIK3R4,PINK1,PLEKHM1,PLOD2,PNPO,PPARGC1A,PPY,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,PRKD2,PRKG1,PSEN1,PTPN22,RAB12,RAB1A,RAB1B,RAB23,RAB24,RAB33B,RAB39,RAB7A,RB1CC1,RBM18,REEP2,REP15,RFWD3,RGS19,RHEB,RIMS3,RNF185,RNF41,RPS27A,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,S100A8,S100A9,SCN1A,SERPINB10,SESN2,SFRP4,SH3GLB1,SIRT2,SLC1A3,SLC1A4,SLC22A3,SLC25A19,SLC35B3,SLC35C1,SLC37A4,SLC6A1,SLCO1A2,SMURF1,SNAP29,SNAPIN,SNF8,SNRPB,SNRPB2,SNRPD1,SNRPF,SNTG1,SNX14,SPATA18,SQSTM1,SRPX,STAM,STAM2,STAT2,STBD1,STK11,STK32A,STOM,STX12,STX17,SUPT3H,TBC1D17,TBC1D25,TBC1D5,TCIRG1,TEAD4,TECPR1,TECPR2,TEX38,TFEB,TM9SF1,TMBIM6,TMEM203,TMEM208,TMEM39A,TMEM39B,TMEM59,TMEM74,TMEM93,TNIK,TOLLIP,TOMM20,TOMM22,TOMM40,TOMM5,TOMM6,TOMM7,TOMM70A,TP53INP1,TP53INP2,TRAPPC8,TREM1,TRIM17,TRIM5,TSG101,TXLNA,UBA52,UBB,UBC,UBQLN1,UBQLN2,UBQLN4,ULK1,ULK2,ULK3,USP10,USP13,USP30,UVRAG,VAMP7,VAMP8,VDAC1,VMP1,VPS11,VPS16,VPS18,VPS25,VPS28,VPS33A,VPS33B,VPS36,VPS37A,VPS37B,VPS37C,VPS37D,VPS39,VPS41,VPS4A,VPS4B,VTA1,VTI1A,VTI1B,WDFY3,WDR45,WDR45L,WIPI1,WIPI2,XBP1,YIPF1,ZCCHC17,ZFYVE1,ZKSCAN3,ZNF189,ZNF593,ZNF681	395
GO_AXIS_ELONGATION	AREG,BMP4,ESR1,FGF1,FGF10,FGFR2,HOXD13,LRP6,MAGI2,MED1,MED12,PTK7,RDH10,SFRP1,SFRP2,SHH,SOX9,SPRY1,SPRY2,TGFB1,TNC,TRIM28,VANGL2,WNT11,WNT3A,WNT5A,YAP1	27
GO_AXIS_SPECIFICATION	AHI1,ARL13B,AURKA,AXIN1,AXIN2,BASP1,BCOR,BMP4,BMPR1A,C2CD3,CDX1,CDX2,CDX4,CER1,CITED1,CITED2,COBL,CTNNB1,CXXC4,DDIT3,DLL1,EGF,EPB41L5,ETS2,FGF10,FOXA2,FRS2,FZD5,GDF3,GPC3,HEY2,HHEX,HOXD8,HSPB11,IFT172,IRX4,KDM6A,LDB1,LHX1,LRP5,LRP5L,LRP6,MDFI,MNS1,NODAL,NOTCH1,NRARP,OTX2,PAX6,PCSK6,PGAP1,PITX2,PKD1L1,PLD6,PTCH1,RGS19,RGS20,RIPPLY1,RIPPLY2,RNF2,SENP2,SETDB2,SFRP1,SHH,SIX2,SIX3,SKI,SMAD2,SMAD4,SMAD6,SMO,SRF,STC1,STIL,T,TBX3,TBX6,TDGF1,TDRD5,TMED2,TTC8,VAX2,WLS,WNT1,WNT3,WNT5A,WNT6,WNT7A,WNT8A,WT1	90
GO_AXO_DENDRITIC_TRANSPORT	AP3B1,AP3B2,AP3D1,AP3M1,AP3M2,AP3S1,AP3S2,APBA1,APP,BLOC1S1,BLOC1S2,BLOC1S3,BLOC1S6,C4orf49,CNO,DTNBP1,HAP1,HIF1A,KIF1A,KIF1B,KIF3B,KIF4A,KLC3,MAPT,MUTED,NDEL1,NEFL,OPA1,PAFAH1B1,PLDN,RAB21,SNAPIN,SOD1,SPAST,SPG11,SPG7,UCHL1,WDR81	38
GO_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM	C11orf9,CLU,CNTN2,ERCC2,FA2H,HES5,ID4,KCNJ10,NKX6-2,ODZ4,PLP1,PTEN	12
GO_AXON_EXTENSION	ALCAM,CDK5,CYFIP1,DCLK1,DCX,DVL1,EPYC,FMOD,ITGB1,LAMB2,LHX2,LOC100507050,MAP1B,MAPT,NDN,NLGN3,NRP1,NRP2,OGN,PLXNB1,POU4F2,POU4F3,PPP3CB,RAPH1,SEMA3A,SEMA3F,SEMA5B,SEMA7A,SLC9A6,SLIT1,SLIT2,SLIT3,SPG11,ULK1,ULK2,USP9X,VCL	37
GO_AXON_REGENERATION	APOA1,APOD,BCL2,C5orf13,CALU,CHL1,CHST3,CTNNA1,DHFR,DHFRP1,FOLR1,ISL1,JAK2,JAM3,JUN,LAMB2,MTR,NEFH,NEFL,RTN4RL1,RTN4RL2,RXRA,TNC,TSPO	24
GO_AXONAL_FASCICULATION	AMIGO1,CDK5R1,CELSR3,CNR1,CNTN2,CNTN4,CRTAC1,EPHA3,EPHA4,EPHB2,EPHB3,FEZF2,MEGF8,NDN,NRCAM,NRP1,PTPRZ1,RTN4,SEMA3A,SEMA5A	20
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	ARMC4,C19orf51,CCDC103,CCDC114,CCDC151,CCDC164,CCDC39,CCDC40,CXorf41,DNAAF1,DNAAF2,DNAH1,DNAH5,DNAH7,DNAI1,DNAI2,DYX1C1,HEATR2,LRRC6,SPAG1,TEKT2,ZMYND10	22
GO_AXONEME_ASSEMBLY	ARMC4,BBS2,C10orf92,C11orf63,C19orf20,C19orf51,CC2D2A,CCDC103,CCDC114,CCDC151,CCDC164,CCDC39,CCDC40,CXorf41,DNAAF1,DNAAF2,DNAH1,DNAH5,DNAH7,DNAI1,DNAI2,DYX1C1,HEATR2,HYDIN,KIAA1751,LRGUK,LRRC6,NEURL,PLA2G3,RP1,RP1L1,RSPH1,RSPH4A,RSPH9,SPAG1,SPAG16,SPAG17,SPEF2,TEKT2,TTLL1,TTLL3,TTLL5,UBE2B,ZMYND10	44
GO_AZOLE_TRANSPORT	ADA,ADCYAP1,C2orf83,EDN1,EDNRA,LYN,SLC19A2,SLC19A3,SLC22A2,SLC22A3,SLC35F3,SLC38A1,SLC38A3,SLC38A7,SNAP23	15
GO_B_CELL_ACTIVATION	ABL1,ADA,ADAM17,AICDA,AKAP17A,ATM,ATP11C,BAK1,BANK1,BATF,BAX,BCL2,BCL3,BCL6,BLNK,BST2,BTK,CASP8,CD180,CD40,CD40LG,CD79A,CD79B,CD86,CDH17,CEBPG,CHRNA4,CHRNB2,CLCF1,CMTM7,CR2,CTPS,CXCR5,DCLRE1C,DLL1,EP300,ERCC1,EXO1,EXOSC3,EXOSC6,FLT3,FNIP1,FZD9,GAPT,GPR183,GPR97,HDAC4,HDAC5,HDAC9,HHEX,HSPD1,ICOSLG,IFNA1,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNE,IFNK,IFNW1,IGBP1,IKZF3,IL10,IL11,IL4,IL7R,ITFG2,ITGA4,ITGB1,JAK3,KIT,KLF6,LAT2,LAX1,LEF1,LFNG,LGALS1,LIG4,LRRC8A,LYL1,MALT1,MEF2C,MFNG,MLH1,MS4A1,MSH2,MSH6,NBN,NFAM1,NHEJ1,NKX2-3,NOTCH2,NTRK1,ONECUT1,PIK3CD,PIK3R1,PLCG2,PLCL2,POLM,POU1F1,POU2F2,PRKCB,PRKCD,PRKDC,PTK2B,PTPN2,PTPRC,RAG1,RAG2,RBPJ,RNF168,RNF8,SKAP2,SP3,SWAP70,TCF3,TLR4,TPD52,TXLNA,VCAM1,VPRBP,ZAP70,ZBTB1,ABL1,ADA,AICDA,BATF,BCL3,CD180,CD40LG,CDH17,DLL1,ERCC1,EXO1,EXOSC3,EXOSC6,GAPT,GPR183,HSPD1,IFNB1,ITFG2,LFNG,LGALS1,LIG4,MFNG,MLH1,MSH2,MSH6,NBN,NKX2-3,NOTCH2,PLCG2,PLCL2,PTK2B,RNF168,RNF8,SWAP70,TLR4	167
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	ABL1,ADA,AICDA,BATF,BCL3,CD180,CD40LG,CDH17,DLL1,ERCC1,EXO1,EXOSC3,EXOSC6,GAPT,GPR183,HSPD1,IFNB1,ITFG2,LFNG,LGALS1,LIG4,MFNG,MLH1,MSH2,MSH6,NBN,NKX2-3,NOTCH2,PLCG2,PLCL2,PTK2B,RNF168,RNF8,SWAP70,TLR4	35
GO_B_CELL_DIFFERENTIATION	ABL1,ADA,ADAM17,AICDA,ATM,ATP11C,BAK1,BAX,BCL2,BCL3,BCL6,BLNK,CD40LG,CD79A,CD79B,CDH17,CEBPG,CLCF1,CMTM7,CR2,DCLRE1C,DLL1,EP300,FLT3,FNIP1,FZD9,GPR183,GPR97,HDAC4,HDAC5,HDAC9,HHEX,IFNA1,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNE,IFNK,IFNW1,IL10,IL11,IL4,ITFG2,ITGA4,ITGB1,JAK3,KIT,KLF6,LFNG,LGALS1,LRRC8A,LYL1,MALT1,MFNG,MSH2,NFAM1,NHEJ1,NKX2-3,NOTCH2,NTRK1,ONECUT1,PIK3R1,PLCG2,PLCL2,POLM,POU1F1,POU2F2,PRKDC,PTK2B,PTPN2,RAG1,RAG2,RBPJ,SP3,TCF3,TPD52,VCAM1,VPRBP,ZBTB1	89
GO_B_CELL_HOMEOSTASIS	ABL1,BAK1,BAX,BCL2,BCL2L11,CASP3,FOXP3,GAPT,HIF1A,LYN,MEF2C,NCKAP1L,PKN1,PPP2R3C,RC3H1,RC3H2,SOS1,SPNS2,TNFAIP3,TNFRSF13B,TNFRSF13C	21
GO_B_CELL_MEDIATED_IMMUNITY	AICDA,BATF,BCL10,BCL3,C1QA,C1QB,C1QBP,C1QC,C1R,C1RL,C1S,C2,C3,C4A,C4B,C4BPA,C4BPB,C5,C6,C7,C8A,C8B,C8G,C9,CD27,CD40LG,CD46,CD55,CD74,CFI,CLU,CR1,CR2,ERCC1,EXO1,EXOSC3,EXOSC6,FAS,FCER1G,GAPT,GCNT3,HLA-DQB1,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HSPD1,IGHA1,IGHA2,IGHD,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,IGHV1OR21-1,IGHV2-70,IGHV3-23,IGHV4OR15-8,IGKC,IGKV1-5,IGKV1D-33,IGKV2-40,IGKV3-20,IGKV3D-11,IGKV3D-20,IGKV4-1,IGLC1,IGLC2,IGLC3,IGLC6,IGLC7,IGLL1,IGLL5,IGLV7-43,IL13RA2,IL4R,INPP5D,IRF7,LIG4,LOC440786,MASP2,MBL2,MLH1,MSH2,MSH6,NBN,POU2F2,PRKCD,RNF168,RNF8,SERPING1,SLA2,SUSD4,SWAP70,TLR8,TRDC,ZP3	99
GO_B_CELL_PROLIFERATION	ABL1,BAX,BCL2,CD180,CD40,CD40LG,CD79A,CR2,CTPS,GAPT,HSPD1,IFNA1,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNE,IFNK,IFNW1,IL10,IL7R,LEF1,MEF2C,MS4A1,PLCL2,PRKCD,PTPRC,RAG2,TLR4	38
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	ABL1,BAX,BCAR1,BCL2,BLK,BTK,CD19,CD38,CD79A,CD79B,CTLA4,IGHA1,IGHA2,IGHD,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,IGHV1OR21-1,IGHV3-23,IGHV4OR15-8,IGKC,IGLC1,IGLC2,IGLC3,IGLC6,IGLC7,IGLL1,IGLL5,KLHL6,LAT2,LCK,LIME1,LYN,MAPK1,MEF2C,MNDA,NCKAP1L,NFAM1,NFATC2,PIK3CD,PLCG2,PLEKHA1,PRKCB,PTPN6,PTPRC,RFTN1,SYK,TEC,TRDC,VAV3,ZAP70	54
GO_BARBED_END_ACTIN_FILAMENT_CAPPING	ADD1,ADD2,CAPG,CAPZA1,CAPZA2,CAPZA3,CAPZB,EPS8,GSN,TRIOBP,TWF1,TWF2,VIL1	13
GO_BASE_EXCISION_REPAIR	APEX1,APEX2,CCNO,DNA2,ERCC6,HMGA1,HMGA2,HMGB1,HUWE1,LIG1,LIG3,MBD4,MPG,MUTYH,NEIL1,NEIL2,NEIL3,NTHL1,OGG1,PARP2,POLB,POLD1,POLE,POLG,POLQ,PRMT6,RECQL4,RPA1,RPA2,RPA3,SIRT6,SMUG1,TDG,TP53,UNG,USP47,WRN,XPA,XRCC1	39
GO_BASEMENT_MEMBRANE_ORGANIZATION	COL4A1,CTSS,DAG1,FLRT2,HPN,MMP11,NID1,NID2,PLOD3,RAMP2,RIC8A	11
GO_BASIC_AMINO_ACID_TRANSPORT	CLN3,PQLC2,SLC11A1,SLC38A1,SLC38A3,SLC38A7,SLC3A1,SLC7A1,SLC7A2,SLC7A3,SLC7A4,SLC7A7	12
